__time,/time/dim,/time/time
1694537256.384823,87000.000000000,412454.000000000
1694537256.395564,88000.000000000,385631.000000000
1694537256.406009,89000.000000000,320370.000000000
1694537256.416774,90000.000000000,363859.000000000
1694537256.427335,91000.000000000,322557.000000000
1694537256.438473,92000.000000000,410162.000000000
1694537256.449530,93000.000000000,331619.000000000
1694537256.460345,94000.000000000,376099.000000000
1694537256.471722,95000.000000000,383652.000000000
1694537256.483362,96000.000000000,306098.000000000
1694537256.494787,97000.000000000,360891.000000000
1694537256.506484,98000.000000000,333964.000000000
1694537256.517757,99000.000000000,279848.000000000
1694537256.529938,100000.000000000,284848.000000000
1694537256.541743,101000.000000000,346568.000000000
1694537256.553800,102000.000000000,431101.000000000
1694537256.567671,103000.000000000,359849.000000000
1694537256.577258,104000.000000000,374589.000000000
1694537256.590040,105000.000000000,596519.000000000
1694537256.602684,106000.000000000,299744.000000000
1694537256.615543,107000.000000000,306515.000000000
1694537256.627710,108000.000000000,372558.000000000
1694537256.640210,109000.000000000,316411.000000000
1694537256.653089,110000.000000000,351203.000000000
1694537256.665976,111000.000000000,306932.000000000
1694537256.678917,112000.000000000,285681.000000000
1694537256.692083,113000.000000000,288077.000000000
1694537256.705100,114000.000000000,380110.000000000
1694537256.718557,115000.000000000,285994.000000000
1694537256.732074,116000.000000000,309380.000000000
1694537256.745287,117000.000000000,283025.000000000
1694537256.758765,118000.000000000,303130.000000000
1694537256.772586,119000.000000000,308651.000000000
1694537256.786271,120000.000000000,351619.000000000
1694537256.800685,121000.000000000,358704.000000000
1694537256.814485,122000.000000000,340891.000000000
1694537256.828585,123000.000000000,303963.000000000
1694537256.843183,124000.000000000,366047.000000000
1694537256.857293,125000.000000000,290317.000000000
1694537256.871724,126000.000000000,329588.000000000
1694537256.886198,127000.000000000,285109.000000000
1694537256.900737,128000.000000000,293234.000000000
1694537256.915687,129000.000000000,320630.000000000
1694537256.930526,130000.000000000,292973.000000000
1694537256.945952,131000.000000000,329068.000000000
1694537256.961068,132000.000000000,338651.000000000
1694537256.976385,133000.000000000,424069.000000000
1694537256.992146,134000.000000000,354172.000000000
1694537257.008200,135000.000000000,350057.000000000
1694537257.023551,136000.000000000,322244.000000000
1694537257.038994,137000.000000000,295578.000000000
1694537257.055033,138000.000000000,352349.000000000
1694537257.071307,139000.000000000,381204.000000000
1694537257.087275,140000.000000000,378652.000000000
1694537257.103780,141000.000000000,321723.000000000
1694537257.120815,142000.000000000,888139.000000000
1694537257.137683,143000.000000000,527352.000000000
1694537257.154374,144000.000000000,647354.000000000
1694537257.170901,145000.000000000,308858.000000000
