__time,/time/dim,/time/time
1694537076.994074,271000.000000000,187242.000000000
1694537077.024422,272000.000000000,180627.000000000
1694537077.054496,273000.000000000,221461.000000000
1694537077.085317,274000.000000000,194691.000000000
1694537077.116079,275000.000000000,184481.000000000
1694537077.146846,276000.000000000,188024.000000000
1694537077.177720,277000.000000000,190420.000000000
1694537077.208684,278000.000000000,199847.000000000
1694537077.239551,279000.000000000,179690.000000000
1694537077.270964,280000.000000000,186721.000000000
1694537077.302393,281000.000000000,184899.000000000
1694537077.333453,282000.000000000,206878.000000000
1694537077.364846,283000.000000000,190836.000000000
1694537077.396439,284000.000000000,192607.000000000
1694537077.428711,285000.000000000,214691.000000000
1694537077.460479,286000.000000000,195264.000000000
1694537077.492580,287000.000000000,182920.000000000
1694537077.524799,288000.000000000,188232.000000000
1694537077.556894,289000.000000000,199482.000000000
1694537077.588944,290000.000000000,198805.000000000
1694537077.621376,291000.000000000,207815.000000000
1694537077.653927,292000.000000000,188024.000000000
1694537077.686268,293000.000000000,189846.000000000
1694537077.719377,294000.000000000,190471.000000000
1694537077.752214,295000.000000000,264848.000000000
1694537077.785279,296000.000000000,197659.000000000
1694537077.818047,297000.000000000,187190.000000000
1694537077.851243,298000.000000000,185836.000000000
1694537077.884525,299000.000000000,200628.000000000
1694537077.917503,300000.000000000,187190.000000000
1694537077.950835,301000.000000000,193544.000000000
1694537077.984231,302000.000000000,187399.000000000
1694537078.017894,303000.000000000,196565.000000000
1694537078.051791,304000.000000000,193857.000000000
1694537078.085324,305000.000000000,185732.000000000
1694537078.119446,306000.000000000,188544.000000000
1694537078.153059,307000.000000000,198701.000000000
1694537078.187275,308000.000000000,196461.000000000
1694537078.221161,309000.000000000,191461.000000000
1694537078.255598,310000.000000000,200941.000000000
1694537078.290040,311000.000000000,241253.000000000
1694537078.324721,312000.000000000,214378.000000000
1694537078.359900,313000.000000000,208753.000000000
1694537078.396580,314000.000000000,956681.000000000
1694537078.431000,315000.000000000,224275.000000000
1694537078.464377,316000.000000000,212659.000000000
1694537078.498475,317000.000000000,195889.000000000
1694537078.533052,318000.000000000,211045.000000000
1694537078.567613,319000.000000000,204430.000000000
1694537078.602269,320000.000000000,196618.000000000
1694537078.637109,321000.000000000,203701.000000000
1694537078.671792,322000.000000000,201201.000000000
1694537078.706699,323000.000000000,206201.000000000
1694537078.741807,324000.000000000,204691.000000000
1694537078.776886,325000.000000000,202295.000000000
1694537078.812138,326000.000000000,204274.000000000
1694537078.847586,327000.000000000,221045.000000000
1694537078.883070,328000.000000000,201722.000000000
1694537078.918640,329000.000000000,203180.000000000
1694537078.954276,330000.000000000,202295.000000000
1694537078.990020,331000.000000000,215889.000000000
1694537079.025816,332000.000000000,197294.000000000
1694537079.061897,333000.000000000,202243.000000000
1694537079.097865,334000.000000000,203440.000000000
1694537079.134111,335000.000000000,210524.000000000
1694537079.170478,336000.000000000,230472.000000000
1694537079.207146,337000.000000000,223024.000000000
1694537079.243585,338000.000000000,207399.000000000
1694537079.279998,339000.000000000,222451.000000000
1694537079.316766,340000.000000000,220941.000000000
1694537079.353611,341000.000000000,209638.000000000
1694537079.390583,342000.000000000,201201.000000000
1694537079.428385,343000.000000000,236149.000000000
1694537079.465039,344000.000000000,216149.000000000
1694537079.502828,345000.000000000,216149.000000000
1694537079.539721,346000.000000000,212139.000000000
1694537079.577147,347000.000000000,214743.000000000
1694537079.614757,348000.000000000,213076.000000000
1694537079.652446,349000.000000000,216253.000000000
1694537079.690567,350000.000000000,225993.000000000
1694537079.728665,351000.000000000,241306.000000000
1694537079.766551,352000.000000000,217504.000000000
1694537079.804605,353000.000000000,207191.000000000
1694537079.842841,354000.000000000,221878.000000000
1694537079.881156,355000.000000000,218493.000000000
1694537079.919618,356000.000000000,228389.000000000
1694537079.958151,357000.000000000,204795.000000000
1694537079.996835,358000.000000000,213545.000000000
1694537080.035756,359000.000000000,242816.000000000
1694537080.074566,360000.000000000,221305.000000000
1694537080.113637,361000.000000000,217138.000000000
1694537080.152659,362000.000000000,220941.000000000
1694537080.191850,363000.000000000,217556.000000000
1694537080.231101,364000.000000000,221826.000000000
1694537080.270407,365000.000000000,213492.000000000
1694537080.309853,366000.000000000,214222.000000000
1694537080.349391,367000.000000000,222504.000000000
1694537080.389176,368000.000000000,232243.000000000
1694537080.428917,369000.000000000,218858.000000000
1694537080.468706,370000.000000000,226723.000000000
1694537080.508801,371000.000000000,216358.000000000
1694537080.548914,372000.000000000,238024.000000000
1694537080.589250,373000.000000000,220837.000000000
1694537080.629462,374000.000000000,222607.000000000
1694537080.669936,375000.000000000,233909.000000000
1694537080.710508,376000.000000000,222556.000000000
1694537080.751384,377000.000000000,255733.000000000
1694537080.792151,378000.000000000,222399.000000000
1694537080.833114,379000.000000000,224951.000000000
1694537080.874152,380000.000000000,228024.000000000
1694537080.915207,381000.000000000,245369.000000000
1694537080.956406,382000.000000000,232399.000000000
1694537080.997673,383000.000000000,225316.000000000
1694537081.039057,384000.000000000,226409.000000000
1694537081.080605,385000.000000000,238597.000000000
1694537081.122185,386000.000000000,221149.000000000
1694537081.164138,387000.000000000,290108.000000000
1694537081.205927,388000.000000000,234899.000000000
1694537081.247912,389000.000000000,275733.000000000
1694537081.289959,390000.000000000,235732.000000000
1694537081.332207,391000.000000000,228077.000000000
1694537081.374460,392000.000000000,227764.000000000
1694537081.416937,393000.000000000,245368.000000000
1694537081.459431,394000.000000000,238128.000000000
1694537081.501917,395000.000000000,226150.000000000
1694537081.544705,396000.000000000,233962.000000000
1694537081.587524,397000.000000000,264431.000000000
1694537081.630363,398000.000000000,227035.000000000
1694537081.673395,399000.000000000,225263.000000000
1694537081.716574,400000.000000000,241097.000000000
1694537081.759793,401000.000000000,245160.000000000
1694537081.803150,402000.000000000,230004.000000000
1694537081.846529,403000.000000000,235160.000000000
1694537081.890008,404000.000000000,228858.000000000
1694537081.933928,405000.000000000,252816.000000000
1694537081.976926,406000.000000000,234326.000000000
1694537082.020731,407000.000000000,241253.000000000
1694537082.064692,408000.000000000,240525.000000000
1694537082.108933,409000.000000000,257296.000000000
1694537082.153078,410000.000000000,238129.000000000
1694537082.197290,411000.000000000,236254.000000000
