__time,/time/dim,/time/time
1694535918.160080,233000.000000000,1484048.000000000
1694535918.186860,234000.000000000,1449933.000000000
1694535918.213109,235000.000000000,1437328.000000000
1694535918.239725,236000.000000000,1433265.000000000
1694535918.266149,237000.000000000,1476548.000000000
1694535918.292929,238000.000000000,1435818.000000000
1694535918.319695,239000.000000000,1468475.000000000
1694535918.346730,240000.000000000,1590145.000000000
1694535918.373812,241000.000000000,1462902.000000000
1694535918.400880,242000.000000000,1518632.000000000
1694535918.428182,243000.000000000,1401807.000000000
1694535918.455401,244000.000000000,1466026.000000000
1694535918.482725,245000.000000000,1388108.000000000
1694535918.510118,246000.000000000,1457068.000000000
1694535918.537646,247000.000000000,1379150.000000000
1694535918.565249,248000.000000000,1380087.000000000
1694535918.592975,249000.000000000,1478631.000000000
1694535918.620886,250000.000000000,1445974.000000000
1694535918.648807,251000.000000000,1458787.000000000
1694535918.676969,252000.000000000,1422119.000000000
1694535918.705218,253000.000000000,1428943.000000000
1694535918.733514,254000.000000000,1414203.000000000
1694535918.761899,255000.000000000,1498111.000000000
1694535918.790412,256000.000000000,1395244.000000000
1694535918.818917,257000.000000000,1414098.000000000
1694535918.847598,258000.000000000,1506393.000000000
1694535918.876518,259000.000000000,1445609.000000000
1694535918.905985,260000.000000000,1463266.000000000
1694535918.935025,261000.000000000,1438578.000000000
1694535918.964265,262000.000000000,1538684.000000000
1694535918.993967,263000.000000000,1520351.000000000
1694535919.023574,264000.000000000,1524153.000000000
1694535919.053242,265000.000000000,1540039.000000000
1694535919.082981,266000.000000000,1496132.000000000
1694535919.112780,267000.000000000,1482277.000000000
1694535919.142658,268000.000000000,1560300.000000000
1694535919.172809,269000.000000000,1465297.000000000
1694535919.202923,270000.000000000,1529206.000000000
1694535919.233129,271000.000000000,1491496.000000000
1694535919.263418,272000.000000000,1569467.000000000
1694535919.294031,273000.000000000,1474829.000000000
1694535919.324525,274000.000000000,1524727.000000000
1694535919.355155,275000.000000000,1524362.000000000
1694535919.385772,276000.000000000,1506288.000000000
1694535919.416583,277000.000000000,1456756.000000000
1694535919.447580,278000.000000000,1564571.000000000
1694535919.478599,279000.000000000,1520143.000000000
1694535919.511321,280000.000000000,1561602.000000000
1694535919.542554,281000.000000000,1481495.000000000
1694535919.574013,282000.000000000,1610874.000000000
1694535919.605586,283000.000000000,1540247.000000000
1694535919.637155,284000.000000000,1523320.000000000
1694535919.669044,285000.000000000,1568269.000000000
1694535919.700845,286000.000000000,1580561.000000000
1694535919.733016,287000.000000000,1600197.000000000
1694535919.764983,288000.000000000,1553946.000000000
1694535919.797107,289000.000000000,1491964.000000000
1694535919.830330,290000.000000000,1548216.000000000
1694535919.862825,291000.000000000,1571915.000000000
1694535919.895489,292000.000000000,1510611.000000000
1694535919.928613,293000.000000000,1867131.000000000
1694535919.961314,294000.000000000,1499517.000000000
1694535919.993987,295000.000000000,1568477.000000000
1694535920.026982,296000.000000000,1532799.000000000
1694535920.059846,297000.000000000,1576290.000000000
1694535920.092937,298000.000000000,1522799.000000000
1694535920.126041,299000.000000000,1587697.000000000
1694535920.159471,300000.000000000,1557695.000000000
1694535920.192725,301000.000000000,1581030.000000000
1694535920.226446,302000.000000000,1677177.000000000
1694535920.260239,303000.000000000,1553268.000000000
1694535920.293899,304000.000000000,1612489.000000000
1694535920.327807,305000.000000000,1557071.000000000
1694535920.361574,306000.000000000,1575353.000000000
1694535920.395647,307000.000000000,1574207.000000000
1694535920.429721,308000.000000000,1625718.000000000
1694535920.464034,309000.000000000,1622437.000000000
1694535920.498306,310000.000000000,1574936.000000000
1694535920.532785,311000.000000000,1574050.000000000
1694535920.567531,312000.000000000,1621343.000000000
1694535920.602188,313000.000000000,1588217.000000000
1694535920.637003,314000.000000000,1552279.000000000
1694535920.671922,315000.000000000,1610614.000000000
1694535920.707239,316000.000000000,1905257.000000000
1694535920.742487,317000.000000000,1726242.000000000
1694535920.777715,318000.000000000,1586915.000000000
1694535920.813018,319000.000000000,1583582.000000000
1694535920.848416,320000.000000000,1643062.000000000
1694535920.883947,321000.000000000,1586187.000000000
1694535920.919611,322000.000000000,1690720.000000000
1694535920.955686,323000.000000000,1631083.000000000
1694535920.991417,324000.000000000,1684105.000000000
1694535921.027369,325000.000000000,1601187.000000000
1694535921.063390,326000.000000000,1643115.000000000
1694535921.099602,327000.000000000,1620718.000000000
1694535921.135783,328000.000000000,1698064.000000000
1694535921.172561,329000.000000000,1611552.000000000
1694535921.209025,330000.000000000,1584832.000000000
1694535921.245539,331000.000000000,1638322.000000000
1694535921.282936,332000.000000000,1843693.000000000
1694535921.319959,333000.000000000,1655094.000000000
1694535921.356885,334000.000000000,1672438.000000000
1694535921.393994,335000.000000000,1642282.000000000
1694535921.431201,336000.000000000,1760045.000000000
1694535921.468517,337000.000000000,1719679.000000000
1694535921.505738,338000.000000000,1597332.000000000
1694535921.543096,339000.000000000,1677803.000000000
1694535921.580708,340000.000000000,1676605.000000000
1694535921.618398,341000.000000000,1613635.000000000
1694535921.656511,342000.000000000,2077344.000000000
1694535921.694914,343000.000000000,1987811.000000000
1694535921.733026,344000.000000000,1947028.000000000
1694535921.771280,345000.000000000,1748274.000000000
1694535921.809345,346000.000000000,1617489.000000000
1694535921.847635,347000.000000000,1699262.000000000
1694535921.885982,348000.000000000,1680512.000000000
1694535921.924498,349000.000000000,1683063.000000000
1694535921.963208,350000.000000000,1722909.000000000
1694535922.001804,351000.000000000,1641812.000000000
1694535922.040642,352000.000000000,1736919.000000000
1694535922.079859,353000.000000000,1749888.000000000
1694535922.118849,354000.000000000,1618114.000000000
1694535922.157871,355000.000000000,1689990.000000000
1694535922.197129,356000.000000000,1694106.000000000
1694535922.236545,357000.000000000,1682387.000000000
1694535922.275887,358000.000000000,1715565.000000000
1694535922.315495,359000.000000000,1670355.000000000
1694535922.355143,360000.000000000,1841297.000000000
1694535922.395150,361000.000000000,1785670.000000000
1694535922.435073,362000.000000000,1685824.000000000
1694535922.476510,363000.000000000,1768169.000000000
1694535922.516691,364000.000000000,1783587.000000000
1694535922.556897,365000.000000000,1709366.000000000
1694535922.597113,366000.000000000,1704106.000000000
1694535922.637591,367000.000000000,1710355.000000000
1694535922.678117,368000.000000000,1675147.000000000
1694535922.718642,369000.000000000,1742752.000000000
1694535922.759460,370000.000000000,1751347.000000000
1694535922.800199,371000.000000000,1695720.000000000
1694535922.841541,372000.000000000,1748429.000000000
1694535922.882723,373000.000000000,1766243.000000000
1694535922.927701,374000.000000000,1674522.000000000
1694535922.968954,375000.000000000,1755305.000000000
1694535923.010356,376000.000000000,1752492.000000000
1694535923.052116,377000.000000000,1890309.000000000
1694535923.093817,378000.000000000,1841818.000000000
1694535923.135745,379000.000000000,1810983.000000000
1694535923.177571,380000.000000000,1698533.000000000
1694535923.219396,381000.000000000,1803223.000000000
1694535923.261449,382000.000000000,1762128.000000000
1694535923.303636,383000.000000000,1757597.000000000
1694535923.347076,384000.000000000,1762701.000000000
1694535923.389384,385000.000000000,1793691.000000000
1694535923.431850,386000.000000000,1746711.000000000
1694535923.474280,387000.000000000,1786139.000000000
1694535923.516954,388000.000000000,1744055.000000000
1694535923.559729,389000.000000000,1745149.000000000
1694535923.602437,390000.000000000,1799108.000000000
1694535923.645523,391000.000000000,1766503.000000000
1694535923.688622,392000.000000000,1730669.000000000
1694535923.731795,393000.000000000,1825671.000000000
1694535923.775321,394000.000000000,1829421.000000000
1694535923.818792,395000.000000000,1784628.000000000
1694535923.862235,396000.000000000,1727909.000000000
1694535923.905627,397000.000000000,1772858.000000000
1694535923.949409,398000.000000000,1826088.000000000
1694535923.993244,399000.000000000,1782910.000000000
1694535924.037109,400000.000000000,1737753.000000000
1694535924.081114,401000.000000000,1780670.000000000
1694535924.125389,402000.000000000,1903433.000000000
1694535924.170239,403000.000000000,1813328.000000000
1694535924.216056,404000.000000000,1820098.000000000
1694535924.260387,405000.000000000,1814838.000000000
1694535924.306717,406000.000000000,1854422.000000000
1694535924.351423,407000.000000000,1832339.000000000
1694535924.396133,408000.000000000,1773743.000000000
1694535924.440882,409000.000000000,1808275.000000000
1694535924.485959,410000.000000000,1900048.000000000
1694535924.531270,411000.000000000,1888382.000000000
1694535924.576432,412000.000000000,1799525.000000000
1694535924.621650,413000.000000000,1836036.000000000
1694535924.669626,414000.000000000,1888589.000000000
1694535924.715447,415000.000000000,1937184.000000000
1694535924.761107,416000.000000000,1777649.000000000
1694535924.806695,417000.000000000,1811557.000000000
1694535924.852710,418000.000000000,1877652.000000000
1694535924.898566,419000.000000000,1811713.000000000
1694535924.944620,420000.000000000,1787389.000000000
1694535924.990642,421000.000000000,1833692.000000000
1694535925.036916,422000.000000000,1868381.000000000
1694535925.083410,423000.000000000,1892027.000000000
1694535925.129963,424000.000000000,1780618.000000000
1694535925.177496,425000.000000000,1850516.000000000
1694535925.224192,426000.000000000,1953226.000000000
1694535925.271067,427000.000000000,1841400.000000000
1694535925.317886,428000.000000000,1825463.000000000
1694535925.364922,429000.000000000,1785566.000000000
1694535925.411896,430000.000000000,1876089.000000000
1694535925.459234,431000.000000000,1968175.000000000
1694535925.506397,432000.000000000,1833901.000000000
1694535925.553830,433000.000000000,1821973.000000000
1694535925.601371,434000.000000000,1850203.000000000
1694535925.649114,435000.000000000,1901506.000000000
1694535925.697060,436000.000000000,1860933.000000000
1694535925.744951,437000.000000000,1955102.000000000
1694535925.792924,438000.000000000,1825672.000000000
1694535925.841271,439000.000000000,1901923.000000000
1694535925.889427,440000.000000000,1864318.000000000
1694535925.941223,441000.000000000,1832755.000000000
1694535925.989441,442000.000000000,1814004.000000000
1694535926.037896,443000.000000000,1952029.000000000
1694535926.086579,444000.000000000,1880100.000000000
1694535926.135336,445000.000000000,1892548.000000000
1694535926.184256,446000.000000000,1911247.000000000
1694535926.233065,447000.000000000,1853693.000000000
1694535926.281990,448000.000000000,1879735.000000000
1694535926.331111,449000.000000000,1901923.000000000
1694535926.380383,450000.000000000,1945674.000000000
1694535926.430195,451000.000000000,2271672.000000000
1694535926.479666,452000.000000000,1952237.000000000
1694535926.529160,453000.000000000,1881819.000000000
1694535926.578855,454000.000000000,1946456.000000000
1694535926.628722,455000.000000000,1934112.000000000
1694535926.678485,456000.000000000,1849318.000000000
1694535926.728314,457000.000000000,1912653.000000000
1694535926.778440,458000.000000000,1976874.000000000
1694535926.828712,459000.000000000,1971769.000000000
1694535926.879056,460000.000000000,1931820.000000000
1694535926.929857,461000.000000000,1851088.000000000
1694535926.981078,462000.000000000,1905778.000000000
1694535927.032181,463000.000000000,1995311.000000000
1694535927.083579,464000.000000000,1964581.000000000
1694535927.134803,465000.000000000,1916559.000000000
1694535927.186600,466000.000000000,1907392.000000000
1694535927.238075,467000.000000000,1957393.000000000
1694535927.291906,468000.000000000,1958956.000000000
1694535927.343349,469000.000000000,1892964.000000000
1694535927.396581,470000.000000000,2224900.000000000
1694535927.451538,471000.000000000,1960727.000000000
1694535927.503356,472000.000000000,2066094.000000000
1694535927.555226,473000.000000000,1968539.000000000
1694535927.607564,474000.000000000,2073906.000000000
1694535927.660015,475000.000000000,2121356.000000000
1694535927.712204,476000.000000000,1975519.000000000
1694535927.764428,477000.000000000,1906454.000000000
1694535927.817168,478000.000000000,2139794.000000000
1694535927.870613,479000.000000000,2458448.000000000
1694535927.923554,480000.000000000,2053282.000000000
1694535927.976347,481000.000000000,1978800.000000000
1694535928.029448,482000.000000000,2170316.000000000
